,content,name
Autohaus TÃ¶fferl,"{""addr:city"": ""Lavam\u00c3\u00bcnd"", ""addr:country"": ""AT"", ""addr:housenumber"": ""23"", ""addr:postcode"": ""9473"", ""addr:street"": ""Lavam\u00c3\u00bcnd"", ""email"": ""office@autohaus-toefferl.at"", ""name"": ""Autohaus T\u00c3\u00b6fferl"", ""phone"": ""+4343562470"", ""shop"": ""car_repair"", ""website"": ""www.autohaus-toefferl.at"", ""address"": ""Lavam\u00fcnd 23, 9473 Lavam\u00fcnd, Austria""}",Autohaus TÃ¶fferl
Sander,"{""addr:city"": ""Lavam\u00c3\u00bcnd"", ""addr:country"": ""AT"", ""addr:housenumber"": ""12"", ""addr:postcode"": ""9473"", ""addr:street"": ""Lavam\u00c3\u00bcnd"", ""name"": ""Sander"", ""phone"": ""+4343562315"", ""shop"": ""car_repair"", ""address"": ""Lavam\u00fcnd 12, 9473 Lavam\u00fcnd, Austria""}",Sander
Ford-Reichel,"{""addr:city"": ""Bruck an der Mur"", ""addr:country"": ""AT"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""8600"", ""addr:street"": ""Grazer Stra\u00c3\u0178e"", ""name"": ""Ford-Reichel"", ""shop"": ""car_repair"", ""address"": ""Grazer Stra\u00dfe 17, 8600 Bruck an der Mur, Austria""}",Ford-Reichel
Auner Aufbau,"{""addr:city"": ""Fehring"", ""addr:housenumber"": ""16"", ""addr:place"": ""Hatzendorf"", ""addr:postcode"": ""8361"", ""name"": ""Auner Aufbau"", ""shop"": ""car_repair"", ""website"": ""http://www.auner-aufbau.at/"", ""address"": ""Hatzendorferstra\u00dfe 16, 8361 Fehring, Austria""}",Auner Aufbau
Samsung Customer Service Center Graz,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""22"", ""addr:postcode"": ""8010"", ""addr:street"": ""Opernring"", ""brand:wikidata"": ""Q20718"", ""brand:wikipedia"": ""de:Samsung Electronics"", ""check_date"": ""2023-04-26"", ""craft"": ""electronics_repair"", ""email"": ""service@samsung.at"", ""mobile_phone:repair"": ""only"", ""name"": ""Samsung Customer Service Center Graz"", ""old_name"": ""Crystals United"", ""opening_hours"": ""Mo 09:30-18:30; Tu-Th 09:30-18:00; Fr 09:30-18:30; Sa, Su, PH off"", ""operator"": ""m-rep Service GmbH"", ""phone"": ""+43 800 7267864"", ""url"": ""https://m-rep.at/"", ""website"": ""https://www.samsung.com/at/support/service-center/"", ""address"": ""Opernring 22, 8010 Graz, Austria""}",Samsung Customer Service Center Graz
HUSSLER KFZ - Landtechnik,"{""addr:housenumber"": ""52"", ""addr:postcode"": ""8565"", ""addr:street"": ""Hallersdorf"", ""name"": ""HUSSLER KFZ - Landtechnik"", ""phone"": ""+433143 32 53"", ""shop"": ""car_repair"", ""website"": ""https://www.hussler.at/"", ""address"": ""Hallersdorfweg 52a, 8565 S\u00f6ding-Sankt Johann, Austria""}",HUSSLER KFZ - Landtechnik
Autohaus Florian,"{""addr:city"": ""Burgau"", ""addr:housenumber"": ""266"", ""addr:postcode"": ""8291"", ""addr:street"": ""Neudauer Stra\u00c3\u0178e"", ""name"": ""Autohaus Florian"", ""shop"": ""car_repair"", ""address"": ""Neudauer Stra\u00dfe 266, 8291 Burgau, Austria""}",Autohaus Florian
Slemenik,"{""name"": ""Slemenik"", ""shop"": ""car_repair"", ""address"": ""Arnulfstra\u00dfe 28, 9063 Maria Saal, Austria""}",Slemenik
S&K Werkstatt GmbH,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""216"", ""addr:postcode"": ""8055"", ""addr:street"": ""Puchstra\u00c3\u0178e"", ""contact:email"": ""service@sk-werkstatt.at"", ""contact:fax"": ""+43316 89 06 49-15"", ""contact:phone"": ""+43316 89 06 49"", ""name"": ""S&K Werkstatt GmbH"", ""opening_hours"": ""Mo-Th 07:15-12:00, 13:00-17:00; Fr 07:15-14:00"", ""shop"": ""car_repair"", ""website"": ""http://www.sk-werkstatt.at/"", ""address"": ""Kurt Prem, Puchstra\u00dfe 216, Graz, Styria 8055, Austria""}",S&K Werkstatt GmbH
Auto Pferschi,"{""addr:city"": ""Eichk\u00c3\u00b6gl"", ""addr:housenumber"": ""111"", ""addr:place"": ""Eichk\u00c3\u00b6gl"", ""addr:postcode"": ""8322"", ""name"": ""Auto Pferschi"", ""operator"": ""Walter Pferschi"", ""phone"": ""+43 664 1831851"", ""shop"": ""car_repair"", ""website"": ""http://www.auto-pferschi.at/"", ""address"": ""Eichk\u00f6glstra\u00dfe 111, 8322 Eichk\u00f6gl, Austria""}",Auto Pferschi
Autoglasexpress Weber,"{""addr:city"": ""Kirchberg an der Raab"", ""addr:housenumber"": ""148"", ""addr:place"": ""Fladnitz im Raabtal"", ""addr:postcode"": ""8322"", ""name"": ""Autoglasexpress Weber"", ""operator"": ""Autoglasexpress Weber OEG"", ""shop"": ""car_repair"", ""address"": ""Fladnitzbergweg 148, 8322 Kirchberg an der Raab, Austria""}",Autoglasexpress Weber
Friedrich Kindermann,"{""addr:city"": ""Deutsch Goritz"", ""addr:housenumber"": ""5"", ""addr:place"": ""Schr\u00c3\u00b6tten bei Deutsch Goritz"", ""addr:postcode"": ""8483"", ""name"": ""Friedrich Kindermann"", ""shop"": ""car_repair"", ""address"": ""KFZ-Technik Kindermann, Schr\u00f6tten bei Deutsch Goritz 5, Deutsch Goritz, Styria 8483, Austria""}",Friedrich Kindermann
Karosserie Koch,"{""name"": ""Karosserie Koch"", ""shop"": ""car_repair"", ""address"": ""Sankt Veiter Stra\u00dfe 179, 9020 Klagenfurt am W\u00f6rthersee, Austria""}",Karosserie Koch
Porsche Austria IBS StÃ¼tzpunkt Graz 1,"{""name"": ""Porsche Austria IBS St\u00c3\u00bctzpunkt Graz 1"", ""shop"": ""car_repair"", ""address"": ""K\u00e4rntner Stra\u00dfe 18, 8020 Graz, Austria""}",Porsche Austria IBS StÃ¼tzpunkt Graz 1
Porsche Austria IBS StÃ¼tzpunkt Graz 2,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""34"", ""addr:postcode"": ""8054"", ""addr:street"": ""Am J\u00c3\u00a4gergrund"", ""name"": ""Porsche Austria IBS St\u00c3\u00bctzpunkt Graz 2"", ""shop"": ""car_repair"", ""address"": ""Am J\u00e4gergrund 34, 8054 Graz, Austria""}",Porsche Austria IBS StÃ¼tzpunkt Graz 2
Mister Z Special Car Service,"{""addr:city"": ""Allerheiligen bei Wildon"", ""addr:housenumber"": ""252"", ""addr:postcode"": ""8412"", ""addr:street"": ""Allerheiligen bei Wildon"", ""name"": ""Mister Z Special Car Service"", ""operator"": ""Zitz Andreas"", ""shop"": ""car_repair"", ""address"": ""Allerheiligen Bei Wildon 321-323 252, 8412 Allerheiligen bei Wildon, Austria""}",Mister Z Special Car Service
KFZ Landtechnik Stradner,"{""addr:city"": ""Allerheiligen bei Wildon"", ""addr:housenumber"": ""36"", ""addr:postcode"": ""8412"", ""addr:street"": ""Siebing"", ""name"": ""KFZ Landtechnik Stradner"", ""operator"": ""Stradner Johann"", ""shop"": ""car_repair"", ""address"": ""Siebing 36, 8412 Allerheiligen bei Wildon, Austria""}",KFZ Landtechnik Stradner
Ford,"{""brand"": ""Ford"", ""brand:wikidata"": ""Q44294"", ""brand:wikipedia"": ""en:Ford Motor Company"", ""name"": ""Ford"", ""shop"": ""car_repair"", ""address"": ""K\u00e4rntner Stra\u00dfe 75, 8700 Leoben, Austria""}",Ford
Autohaus Pirsch,"{""addr:city"": ""Gratkorn"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""8101"", ""addr:street"": ""Sportplatzgasse"", ""addr:suburb"": ""Kirchenviertel"", ""contact:phone"": ""+43 3124 22 196"", ""contact:website"": ""pirsch.at"", ""name"": ""Autohaus Pirsch"", ""shop"": ""car_repair"", ""address"": ""Sportplatzgasse 4, 8101 Gratkorn, Austria""}",Autohaus Pirsch
Repair CafÃ© Graz,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""45"", ""addr:street"": ""Lendkai"", ""amenity"": ""workshop"", ""contact:calendar"": ""https://www.repaircafe-graz.at/veranstaltungen/"", ""contact:facebook"": ""https://www.facebook.com/repaircafe.graz"", ""contact:twitter"": ""https://twitter.com/repaircafe_graz"", ""contact:website"": ""https://www.repaircafe-graz.at/"", ""name"": ""Repair Caf\u00c3\u00a9 Graz"", ""repair"": ""assisted_self_service"", ""address"": ""Lendkai 45, 8020 Graz, Austria""}",Repair CafÃ© Graz
Fuchs Kfz-Technik Meisterbetrieb,"{""addr:city"": ""Frohnleiten"", ""addr:housenumber"": ""19"", ""addr:postcode"": ""8130"", ""addr:street"": ""Parkweg"", ""name"": ""Fuchs Kfz-Technik Meisterbetrieb"", ""shop"": ""car_repair"", ""address"": ""Parkweg 19, 8130 Frohnleiten, Austria""}",Fuchs Kfz-Technik Meisterbetrieb
Autohaus KÃ¶ssler GmbH,"{""addr:city"": ""Judenburg"", ""addr:housenumber"": ""134"", ""addr:postcode"": ""8750"", ""addr:street"": ""Burggasse"", ""fax"": ""03572 82477-7"", ""name"": ""Autohaus K\u00c3\u00b6ssler GmbH"", ""phone"": ""03572 82477"", ""shop"": ""car_repair"", ""address"": ""Burggasse 134, 8750 Judenburg, Austria""}",Autohaus KÃ¶ssler GmbH
KFZ Karl Neff,"{""name"": ""KFZ Karl Neff"", ""operator"": ""Karl Neff"", ""shop"": ""car_repair"", ""address"": ""Industriestra\u00dfe 5, 9241 Wernberg, Austria""}",KFZ Karl Neff
KFZ Erhard,"{""name"": ""KFZ Erhard"", ""shop"": ""car_repair"", ""address"": ""Fahrenbachstra\u00dfe 92, 8451 Heimschuh, Austria""}",KFZ Erhard
KFZ-Schaffer,"{""addr:city"": ""Fohnsdorf"", ""addr:housenumber"": ""21"", ""addr:postcode"": ""8753"", ""addr:street"": ""Judenburgerstra\u00c3\u0178e"", ""name"": ""KFZ-Schaffer"", ""phone"": ""+43 3573 3 44 85"", ""shop"": ""car_repair"", ""address"": ""Judenburger Stra\u00dfe 21, 8753 Fohnsdorf, Austria""}",KFZ-Schaffer
Welog,"{""name"": ""Welog"", ""shop"": ""car_repair"", ""address"": ""WELOG TRUCK & TRAILER GmbH, Neudorf bei Ilz 163, Ilz, Styria 8262, Austria""}",Welog
TALUS Performance Tuning,"{""addr:housenumber"": ""1"", ""addr:postcode"": ""8101"", ""addr:street"": ""Eggenfelder Stra\u00c3\u0178e"", ""contact:mobile"": ""+43 676 9707656"", ""name"": ""TALUS Performance Tuning"", ""shop"": ""car_repair"", ""address"": ""Eggenfelder Stra\u00dfe 1, 8101 Gratkorn, Austria""}",TALUS Performance Tuning
Kfz Walter Krobath,"{""addr:city"": ""Wildon"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""8410"", ""addr:street"": ""Wurzinger Stra\u00c3\u0178e"", ""brand"": ""Opel"", ""name"": ""Kfz Walter Krobath"", ""operator"": ""Walter Krobath"", ""phone"": ""+43 31823270"", ""shop"": ""car_repair"", ""address"": ""Wurzinger Stra\u00dfe 3, 8410 Wildon, Austria""}",Kfz Walter Krobath
KFZ Service und Reparatur Wolfgang Gschiel,"{""addr:city"": ""Wildon"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""8410"", ""addr:street"": ""Wurzinger Stra\u00c3\u0178e"", ""name"": ""KFZ Service und Reparatur Wolfgang Gschiel"", ""operator"": ""Wolfgang Gschiel"", ""payment:coins"": ""yes"", ""payment:notes"": ""yes"", ""phone"": ""+43 (0) 664 232 65 06"", ""shop"": ""car_repair"", ""wheelchair"": ""yes"", ""address"": ""Wurzinger Stra\u00dfe 1, 8410 Wildon, Austria""}",KFZ Service und Reparatur Wolfgang Gschiel
KFZ Technik Konrad-Ornig OG,"{""addr:city"": ""Kalsdorf bei Graz"", ""addr:housenumber"": ""160"", ""addr:postcode"": ""8401"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""email"": ""office@konrad-ornig.at"", ""name"": ""KFZ Technik Konrad-Ornig OG"", ""operator"": ""Konrad-Ornig"", ""phone"": ""03135 53897"", ""shop"": ""car_repair"", ""website"": ""http://www.konrad-ornig.at/"", ""address"": ""Hauptstra\u00dfe 160, 8401 Kalsdorf bei Graz, Austria""}",KFZ Technik Konrad-Ornig OG
Ema Spare Parts & Repair e.U.,"{""addr:city"": ""Paldau"", ""addr:housenumber"": ""146"", ""addr:place"": ""Puch"", ""addr:postcode"": ""8341"", ""craft"": ""handicraft"", ""name"": ""Ema Spare Parts & Repair e.U."", ""address"": ""Alte Puchstra\u00dfe 146, 8341 Paldau, Austria""}",Ema Spare Parts & Repair e.U.
Fahrzeugaufbetreitung Schreiber,"{""addr:city"": ""Paldau"", ""addr:housenumber"": ""16"", ""addr:place"": ""Puch"", ""addr:postcode"": ""8341"", ""name"": ""Fahrzeugaufbetreitung Schreiber"", ""phone"": ""+43 664 1344486"", ""shop"": ""car_repair"", ""address"": ""Alte Puchstra\u00dfe 16, 8341 Paldau, Austria""}",Fahrzeugaufbetreitung Schreiber
Mazda WerkstÃ¤tte Landl Ges.m.b.H,"{""name"": ""Mazda Werkst\u00c3\u00a4tte Landl Ges.m.b.H"", ""shop"": ""car_repair"", ""address"": ""Stoderstra\u00dfe 182a, 8962 Gr\u00f6bming, Austria""}",Mazda WerkstÃ¤tte Landl Ges.m.b.H
KFZ - PLETZ,"{""email"": ""office@kfz-pletz.at"", ""fax"": ""+43 3577 / 23846 - 20"", ""name"": ""KFZ - PLETZ"", ""opening_hours"": ""Mo-Fr 08:00-12:00,13:00-17:00"", ""phone"": ""+43 3577 / 23 846"", ""shop"": ""car_repair"", ""website"": ""www.kfz-pletz.at/index.php"", ""address"": ""Bundesstra\u00dfe 88, 8740 Zeltweg, Austria""}",KFZ - PLETZ
JÃ¶rg Sapper GmbH,"{""brand"": ""Toyota"", ""email"": ""office@sapper.co.at"", ""name"": ""J\u00c3\u00b6rg Sapper GmbH"", ""phone"": ""+43 3577/26677"", ""service"": ""dealer;repair"", ""shop"": ""car"", ""website"": ""www.sapper.co.at"", ""address"": ""Bundesstra\u00dfe 90, 8740 Zeltweg, Austria""}",JÃ¶rg Sapper GmbH
Avtoservis,"{""addr:city"": ""Gornja Radgona"", ""addr:housenumber"": ""30C"", ""addr:postcode"": ""9250"", ""addr:street"": ""Ljutomerska cesta"", ""name"": ""Avtoservis"", ""shop"": ""car_repair"", ""address"": ""Ljutomerska Cesta 30a, 9250 Gornja Radgona, Slovenia""}",Avtoservis
OPEL-Gebrauchtteile Reichhard,"{""addr:housename"": ""Reichhard"", ""addr:housenumber"": ""211"", ""addr:postcode"": ""8402"", ""addr:street"": ""Bundesstra\u00c3\u0178e"", ""car_parts"": ""yes"", ""name"": ""OPEL-Gebrauchtteile Reichhard"", ""shop"": ""car_repair"", ""spare_parts"": ""yes"", ""website"": ""http://www.auto-reichhardt.com"", ""address"": ""Bundesstra\u00dfe 211, 8402 Werndorf, Austria""}",OPEL-Gebrauchtteile Reichhard
Abschlepp und Bergedienst Briscek,"{""addr:housenumber"": ""29"", ""addr:postcode"": ""8750"", ""addr:street"": ""Gr\u00c3\u00bcnh\u00c3\u00bcblgasse"", ""name"": ""Abschlepp und Bergedienst Briscek"", ""phone"": ""06769676611"", ""shop"": ""car_repair"", ""address"": ""Gr\u00fcnh\u00fcblgasse 29, 8750 Judenburg, Austria""}",Abschlepp und Bergedienst Briscek
adAUTODIENST Glantschnig,"{""addr:city"": ""Judenburg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""27"", ""addr:postcode"": ""8750"", ""addr:street"": ""Gr\u00c3\u00bcnh\u00c3\u00bcblgasse"", ""at_bev:addr_date"": ""2019-10-01"", ""name"": ""adAUTODIENST Glantschnig"", ""phone"": ""0357282160"", ""shop"": ""car_repair"", ""address"": ""Gr\u00fcnh\u00fcblgasse 27, 8750 Judenburg, Austria""}",adAUTODIENST Glantschnig
Autohaus Neumann,"{""addr:city"": ""Eisenerz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""110"", ""addr:postcode"": ""8790"", ""addr:street"": ""Krumpentaler Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2017-04-07"", ""name"": ""Autohaus Neumann"", ""shop"": ""car_repair"", ""address"": ""Krumpentaler Stra\u00dfe 110, 8790 Eisenerz, Austria""}",Autohaus Neumann
ARBÃ– PrÃ¼fzentrum St. Veit/Glan,"{""addr:city"": ""St. Veit an der Glan"", ""addr:country"": ""AT"", ""addr:housenumber"": ""59"", ""addr:postcode"": ""9300"", ""addr:street"": ""Villacher Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2017-04-07"", ""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""contact:email"": ""pz.stveitglan@arboe.at"", ""contact:fax"": ""+43 4212 5824"", ""contact:phone"": ""+43 5 0123 2211"", ""name"": ""ARB\u00c3\u2013 Pr\u00c3\u00bcfzentrum St. Veit/Glan"", ""opening_hours"": ""Mo-Su 07:00-19:00"", ""operator"": ""ARB\u00c3\u2013"", ""shop"": ""car_repair"", ""address"": ""Villacher Stra\u00dfe 59, 9300 St. Veit an der Glan, Austria""}",ARBÃ– PrÃ¼fzentrum St. Veit/Glan
ARBÃ– PrÃ¼fzentrum Feldkirchen,"{""addr:city"": ""Feldkirchen in K\u00c3\u00a4rnten"", ""addr:country"": ""AT"", ""addr:housenumber"": ""31"", ""addr:postcode"": ""9560"", ""addr:street"": ""10.-Oktober-Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2017-04-07"", ""car_service"": ""breakdown;inspection"", ""club"": ""automobile"", ""email"": ""pz.feldkirchen@arboe.at"", ""fax"": ""+43 4276 2933915"", ""name"": ""ARB\u00c3\u2013 Pr\u00c3\u00bcfzentrum Feldkirchen"", ""opening_hours"": ""Mo-Fr 08:00-12:00, 13:00-17:00"", ""operator"": ""ARB\u00c3\u2013"", ""phone"": ""+43 50 1232203"", ""service"": ""repair"", ""shop"": ""car_repair"", ""address"": ""10.-Oktober-Stra\u00dfe 31, 9560 Feldkirchen in K\u00e4rnten, Austria""}",ARBÃ– PrÃ¼fzentrum Feldkirchen
Cetintas Talip,"{""addr:city"": ""Feldbach"", ""addr:housenumber"": ""32"", ""addr:place"": ""Untergiem"", ""addr:postcode"": ""8330"", ""name"": ""Cetintas Talip"", ""operator"": ""Cetintas Talip"", ""service:vehicle:brakes"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:repairs"": ""yes"", ""service:vehicle:tyres"": ""yes"", ""shop"": ""car_repair"", ""address"": ""Untergiemweg 24, 8330 Feldbach, Austria""}",Cetintas Talip
Greimel-Puchas,"{""name"": ""Greimel-Puchas"", ""shop"": ""car_repair"", ""address"": ""H\u00f6henstra\u00dfe 35, 8047 Kainbach bei Graz, Austria""}",Greimel-Puchas
Auto Hartleb,"{""email"": ""office@auto-hartleb.at"", ""fax"": ""+43 3577 - 22 303"", ""name"": ""Auto Hartleb"", ""opening_hours"": ""Mo-Th 08:00-12:00,13:00-17:00; Fr 08:00-12:00,13:00-15:30"", ""phone"": ""+43 3577 24138"", ""service"": ""repair"", ""shop"": ""car_repair"", ""website"": ""http://www.auto-hartleb.at/"", ""address"": ""Bundesstra\u00dfe 64a, 8740 Zeltweg, Austria""}",Auto Hartleb
LÃ¼ftenegger,"{""addr:city"": ""Fohnsdorf-Gabelhofen"", ""addr:country"": ""AT"", ""addr:housenumber"": ""30"", ""addr:postcode"": ""8753"", ""addr:street"": ""Bundesstra\u00c3\u0178e"", ""name"": ""L\u00c3\u00bcftenegger"", ""phone"": ""+43 0664 3412865"", ""shop"": ""car_repair"", ""address"": ""Bundesstra\u00dfe 30, 8753 Fohnsdorf, Austria""}",LÃ¼ftenegger
Performance Chiptuning,"{""addr:city"": ""Bad Gleichenberg"", ""addr:housenumber"": ""99"", ""addr:postcode"": ""8344"", ""addr:street"": ""Steinrieglstra\u00c3\u0178e"", ""name"": ""Performance Chiptuning"", ""operator"": ""Manfred Krobath"", ""service:vehicle:electrical"": ""yes"", ""shop"": ""car_repair"", ""website"": ""http://www.performance-chiptuning.at/"", ""address"": ""Steinrieglstra\u00dfe 99, 8344 Bad Gleichenberg, Austria""}",Performance Chiptuning
KFZ Reibenbacher,"{""addr:city"": ""Zeltweg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""113a"", ""addr:postcode"": ""8740"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""email"": ""office@kfz-reibenbacher.at"", ""name"": ""KFZ Reibenbacher"", ""phone"": ""+43 664 40 23 32 7"", ""service"": ""repair"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-reibenbacher.at/"", ""address"": ""Hauptstra\u00dfe 113a, 8740 Zeltweg, Austria""}",KFZ Reibenbacher
Spannring,"{""addr:city"": ""Zeltweg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""14"", ""addr:postcode"": ""8740"", ""addr:street"": ""Wei\u00c3\u0178kirchnerstra\u00c3\u0178e"", ""email"": ""office@kfz-spannring.at"", ""fax"": ""+43 3577 80978"", ""name"": ""Spannring"", ""phone"": ""+43 699/ 122 48 008"", ""service"": ""repair"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-spannring.at/?p=y"", ""address"": ""Wei\u00dfkirchner Stra\u00dfe 14, 8740 Zeltweg, Austria""}",Spannring
KFZ Hebein,"{""addr:city"": ""EPPENSTEIN"", ""addr:country"": ""AT"", ""addr:district"": ""Murtal"", ""addr:housenumber"": ""37A"", ""addr:place"": ""Eppenstein"", ""addr:postcode"": ""8741"", ""email"": ""OFFICE@KFZ-HEBEIN.AT"", ""name"": ""KFZ Hebein"", ""phone"": ""+43 664 91 51 113"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-hebein.at/home.html"", ""address"": ""Eppenstein 37a, 8741 Wei\u00dfkirchen in Steiermark, Austria""}",KFZ Hebein
Auto Peter,"{""name"": ""Auto Peter"", ""service"": ""repair"", ""shop"": ""car_repair"", ""address"": ""Nelkengasse 2, 8720 Knittelfeld, Austria""}",Auto Peter
Autohaus Begrer,"{""addr:city"": ""Kindberg"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""8650"", ""addr:street"": ""Wiener Stra\u00c3\u0178e"", ""name"": ""Autohaus Begrer"", ""shop"": ""car_repair"", ""address"": ""Wiener Stra\u00dfe 3, 8650 Kindberg, Austria""}",Autohaus Begrer
KFZ Kuss,"{""addr:city"": ""Guttaring"", ""addr:country"": ""AT"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""9334"", ""addr:street"": ""Christophorusweg"", ""contact:phone"": ""+43 4262 8175"", ""name"": ""KFZ Kuss"", ""opening_hours"": ""Mo-Fr 08:00-12:00, 13:00-17:00"", ""operator"": ""Ing. Herbert Kuss"", ""shop"": ""car_repair"", ""website"": ""http://www.ad-kuss.at/index.php/impressum"", ""address"": ""Christophorusweg 1, 9334 Guttaring, Austria""}",KFZ Kuss
Oswin MAYER,"{""addr:city"": ""Leoben"", ""addr:country"": ""AT"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""8700"", ""addr:street"": ""Waltenbachstra\u00c3\u0178e"", ""addr:suburb"": ""M\u00c3\u00bchltal"", ""at_bev:addr_date"": ""2017-10-01"", ""contact:phone"": ""+43 3842 276 45"", ""name"": ""Oswin MAYER"", ""shop"": ""car_repair"", ""website"": ""https://www.oswinmayer.at/"", ""address"": ""Waltenbachstra\u00dfe 4, 8700 Leoben, Austria""}",Oswin MAYER
Reifen Weichberger,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""8010"", ""addr:street"": ""Evangelimanngasse"", ""email"": ""graz2@weichberger.at"", ""name"": ""Reifen Weichberger"", ""opening_hours"": ""Mo-Th 08:00-17:00; Fr 08:00-15:00"", ""phone"": ""+43 316 463130"", ""shop"": ""car_repair"", ""website"": ""https://www.weichberger.at/cms/graz-evangelimanngasse"", ""address"": ""Evangelimanngasse 3, 8010 Graz, Austria""}",Reifen Weichberger
Killa Performance,"{""name"": ""Killa Performance"", ""operator"": ""Marcel Sowa"", ""shop"": ""car_repair"", ""address"": ""Klagenfurter Stra\u00dfe 5, 9371 Br\u00fcckl, Austria""}",Killa Performance
KFZ ZÃ¶hrer,"{""name"": ""KFZ Z\u00c3\u00b6hrer"", ""service"": ""repair"", ""shop"": ""car_repair"", ""address"": ""Weberegg 25, 8451 Heimschuh, Austria""}",KFZ ZÃ¶hrer
Rudorfer,"{""addr:city"": ""Spielberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""8724"", ""addr:street"": ""Helenengasse"", ""email"": ""kfz.rudorfer@aon.at"", ""fax"": ""+ 43 3512 82031-4"", ""name"": ""Rudorfer"", ""operator"": ""Ing. Manfred Rudorfer"", ""phone"": ""+43 3512 82031"", ""service"": ""repair"", ""shop"": ""car_repair"", ""website"": ""http://www.kfz-rudorfer.at/index.html"", ""address"": ""Helenengasse 6, 8724 Spielberg, Austria""}",Rudorfer
Rad Station,"{""amenity"": ""bicycle_repair_station"", ""full_name"": ""Radstation am Bahnhof"", ""level"": ""0"", ""name"": ""Rad Station"", ""opening_hours"": ""Feb 18-Apr 30: Mo-Fr 08:00-17:00; May-Oct Sa,Su,PH 09:00-12:00,17:00-19:00"", ""operator"": ""Bicycle"", ""service:bicycle:cleaning"": ""yes"", ""service:bicycle:rental"": ""yes"", ""address"": ""Europaplatz 3, 8020 Graz, Austria""}",Rad Station
Toyota Sapper,"{""addr:city"": ""Niederw\u00c3\u00b6lz"", ""addr:country"": ""AT"", ""addr:district"": ""Murau"", ""addr:housenumber"": ""126"", ""addr:postcode"": ""8831"", ""addr:street"": ""Glattjoch Stra\u00c3\u0178e"", ""at_bev:addr_date"": ""2020-10-01"", ""brand"": ""Toyota"", ""email"": ""toyota@sapper.co.at"", ""name"": ""Toyota Sapper"", ""phone"": ""+43 3582/2269"", ""service"": ""repair"", ""shop"": ""car_repair"", ""was:addr:place"": ""Niederw\u00c3\u00b6lz"", ""website"": ""http://www.sapper.co.at/index.php/niederwoelz"", ""address"": ""Glattjoch Stra\u00dfe 126, 8831 Niederw\u00f6lz, Austria""}",Toyota Sapper
KFZ Schipfer,"{""addr:city"": ""Kammern im Liesingtal"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""8773"", ""addr:street"": ""Kammerner H\u00c3\u00b6he"", ""name"": ""KFZ Schipfer"", ""shop"": ""car_repair"", ""address"": ""Kammern 1, 8773 Kammern im Liesingtal, Austria""}",KFZ Schipfer
Schrank,"{""addr:city"": ""Weiz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""32"", ""addr:postcode"": ""8160"", ""addr:street"": ""Dr.-Karl-Widdmann-Stra\u00c3\u0178e"", ""brand"": ""Opel, Suzuki, Iveco"", ""name"": ""Schrank"", ""shop"": ""car_repair"", ""address"": ""Dr.-Karl-Widdmann-Stra\u00dfe 32, 8160 Weiz, Austria""}",Schrank
